卖家Id,卖家入驻闲鱼时长,卖家卖出商品数量,卖家职业,卖家访问闲鱼频率,卖家芝麻评级,卖家芝麻信用,卖家发货地址,商品标题,商品状态,商品划线价格,商品售价,商品数量,商品邮费,商品浏览数,商品想要人数,商品点赞数,商品同款信息,商品描述
1678720808,来闲鱼1132天了,卖出过135件宝贝,四川音乐学院毕业,连续2天来过,A,信用极好,贵阳,宽松假两件蝴蝶假抹胸连衣裙,在售,489.5,60,1,0,19,0,0,无同款商品信息,"宽松假两件蝴蝶假抹胸连衣裙 
布料超舒服夏天穿着特别凉快
xl码
110斤到150斤轻松驾驭
7成新
只穿过三回

60包邮出
已经很便宜了，看看图一的原价

不退不换
谨慎下单
❤️"
805132739,来闲鱼1379天了,卖出过115件宝贝,"来闲鱼1379天了,卖出过115件宝贝",连续4天来过,A,信用极好,东莞,ELAND依恋T恤短袖甜美休闲,已售出,102.5,50,0,10,192,8,0,无同款商品信息,"ELAND依恋T恤短袖甜美休闲
颜色粉色Pink/25,尺码M码，粉色M码，买回只穿过一两次吧，跟全新的一样，无任何瑕疵脏污和起球。
胸围90cm，衣长62cm。"
437023771,来闲鱼1415天了,卖出过65件宝贝,,1天前来过,A,信用极好,广州,马天奴 My Teno连衣裙,已售出,3000,269,0,0,351,7,0,无同款商品信息,"马天奴 My Teno连衣裙
9成新 只穿过一两回 
40码 胸围90 腰围78"
3005163560,来闲鱼1036天了,卖出过141件宝贝,,1小时前来过,A,信用极好,成都,linjou玲玖小清新法式连衣裙双排扣小个子俏皮…,在售,138.83,70,1,0,1201,36,1,无同款商品信息,"linjou玲玖小清新法式连衣裙双排扣小个子俏皮…
颜色分类橘红格[现货],尺码S
  
下水一次没穿过 因为领口太低我自己缝了一个暗扣防止走光 外面是看不出来的"
195405163,来闲鱼1399天了,卖出过36件宝贝,喜欢时尚、旅游,连续3天来过,A,信用极好,上海,针织短袖 女款,在售,200,50,1,0,33,0,0,无同款商品信息,"针织短袖 女款
韩国一个牌子 图片色，均码
那时候朋友公司内买，买了两个颜色
这件洗过一回，没穿过
很简单的款，外穿 内搭都好
便宜转 忘记多少钱了"
811009588,来闲鱼1390天了,卖出过188件宝贝,贸易行业销售,1小时前来过,A,信用极好,广州,修身露肩雪纺连衣裙礼裙,在售,0,30,1,0,19,1,0,无同款商品信息,"修身露肩雪纺连衣裙礼裙
就穿过一回参加活动，衣服很新～ 
质量很好，是光滑的雪纺料子 
喜欢的带走吧，二手物品不退换。"
2.20063E+12,来闲鱼310天了,卖出过78件宝贝,,6小时前来过,A,信用极好,南昌,乐町格子连体裤，M码 可一字肩可拉上去穿，穿过两回出去旅游穿,在售,0,79.88,1,0,229,2,0,无同款商品信息,乐町格子连体裤，M码 可一字肩可拉上去穿，穿过两回出去旅游穿很好看，质感好 很清新 299百货大楼实体店入 现79.88包邮出 售出不退不换
3178614768,来闲鱼1023天了,卖出过64件宝贝,吹毛求疵去淘宝，我转让的东西很多，有问题早被差评了，出现错发或者衣服有问题，都百分百保证处理,连续2天来过,A,信用极好,六安,沙滩云哈尼天空honeysky婴儿纱布连体衣,在售,0,39,1,0,66,2,0,无同款商品信息,"沙滩云哈尼天空honeysky婴儿纱布连体衣   
现在淘宝还有售，我这全新未拆封的。小孩衣服囤了太多，现在孩子出生，可能比穿不上的都随便转让了。
73码*1   其他码没了 且买且珍惜
还价不回"
102514733,来闲鱼1371天了,卖出过177件宝贝,IT/互联网/通信行业人力资源,连续5天来过,A,信用极好,西安,7m专柜正品春夏雪纺短袖中长款薄外套,在售,0,35,1,0,234,22,2,无同款商品信息,"7m专柜正品春夏雪纺短袖中长款薄外套 黑色，穿过有一两回.可以当薄款外套、防晒衫，也可以当裙子。随意搭配.36码/155码。9.5成新专柜购买时¥299
本交易仅支持邮寄"
2.20419E+12,来闲鱼331天了,卖出过16件宝贝,,1小时前来过,A,信用极好,深圳,only正品刺绣 民族风 可爱少女 白色连衣裙短裙,在售,699,69,1,0,547,4,0,无同款商品信息,"only正品刺绣 民族风 可爱少女 白色连衣裙短裙
穿一洗一保真，无瑕疵，699入的68包邮出
适合105斤以内的妹子哈，xs码宽松款

爽快的包10元邮费送小礼物，已读不回勿扰
不议价，时间宝贵越议价越贵

非zara Veromoda only 欧时力 歌莉娅 UR lin"
16067683,来闲鱼684天了,卖出过69件宝贝,自由职业行业创始人,1天前来过,A,信用极好,北京,izzue com的外套毛衣，某年去hk的时候突然降温顺手买,在售,0,68,1,0,201,1,1,无同款商品信息,"izzue com的外套毛衣，某年去hk的时候突然降温顺手买的，貌似600多hk元，穿着玩了两天回北京就再也没穿过，原因是北京的天气前一天短袖后一天羽绒服，根本用不上这种厚度的外套毛衣…
没洗过

成分如图。不厚，很松软的感觉。"
2002902330,来闲鱼1380天了,卖出过24件宝贝,金融行业职业经理人,7小时前来过,A,信用极好,忻州,白色人头像T恤，便宜出，夏天穿透气，买上只穿过一回，,在售,189,35.2,1,0,14,1,0,无同款商品信息,"白色人头像T恤，便宜出，夏天穿透气，买上只穿过一回，
感兴趣的话点“我想要”和我私聊吧～"
2560048932,来闲鱼1301天了,卖出过24件宝贝,,6小时前来过,B,信用优秀,杭州,ishui is shuiii 条纹休闲显瘦针织…,在售,113.9,59,1,0,73,2,0,无同款商品信息,"ishui is shuiii 条纹休闲显瘦针织…
颜色分类:海盐夹心 尺码:S
只穿过一次！！！质量超好 没钱了 出了回点血"
152225317,来闲鱼542天了,卖出过101件宝贝,,连续2天来过,A,信用极好,东莞,拉丁舞上衣女成人新款练功舞蹈跳舞服装v领露背短袖s,在售,39.9,23,1,0,210,5,0,无同款商品信息,"拉丁舞上衣女成人新款练功舞蹈跳舞服装v领露背短袖s 拉丁舞上衣女成人新款练功舞蹈跳舞服装v领露背短袖

颜色：红！！！
一定要看清楚是红色
9.9成新，穿过一回，棉质


尺码：s

9.9成新，一穿一洗


售出后不退不换
本交易仅支持邮寄"
134872842,来闲鱼2011天了,卖出过840件宝贝,我喜欢海淘，如果你也喜欢买买买，欢迎找我来聊天，加我加我～嘻嘻,连续4天来过,A,信用极好,北京,美国购回jcrew女童卡通可爱短袖T恤6-7岁,在售,0,100,1,0,119,2,0,无同款商品信息,"美国购回jcrew女童卡通可爱短袖T恤6-7岁
衣服穿过一回，棉质很舒服很软很薄，实拍如图，最后一图有个小黄点，不明显，接受的来吧，包邮出不退换"
1581118666,来闲鱼1498天了,卖出过58件宝贝,事业单位员工,6小时前来过,A,信用极好,沈阳,obey短袖，正品，专柜购买，穿过一回，m码，适合170到1,已售出,200,60,0,0,81,3,0,无同款商品信息,obey短袖，正品，专柜购买，穿过一回，m码，适合170到175，150斤以下，衣长73厘米
1086264825,来闲鱼1697天了,卖出过24件宝贝,,5天前来过,A,信用极好,成都,URBAN REVIVO UR2019夏季女装格调不规则休闲,在售,0,70,1,0,33,1,0,无同款商品信息,URBAN REVIVO UR2019夏季女装格调不规则休闲牛仔裤WG17SBKN2008 就穿过一回 XS码实体店买的 自己穿着不合适 便宜出 砍价的别私信我
2639634192,来闲鱼1427天了,卖出过3件宝贝,喜欢宠物,6天前来过,B,信用优秀,广州,GUUKA&吃豆人联名嘻哈蓝色印花短袖T…,在售,207.9,132,1,0,124,2,0,无同款商品信息,"GUUKA&吃豆人联名嘻哈蓝色印花短袖T…
颜色蓝色款,尺码S
穿过一回"
2371665245,来闲鱼1250天了,卖出过256件宝贝,零售行业职业经理人,18小时前来过,A,信用极好,北京,moda连衣裙,在售,0,110,1,0,105,10,6,无同款商品信息,moda连衣裙 买回来只穿过一回，未水洗，九成新，附赠腰带，买的时候599，现便宜转了
2249175738,来闲鱼1333天了,卖出过17件宝贝,"来闲鱼1333天了,卖出过17件宝贝",7小时前来过,A,信用极好,龙岩,民族风撞色印花宽松短袖,在售,0,30,1,7,14,0,0,无同款商品信息,"民族风撞色印花宽松短袖
穿过一两回 已洗 98新   可外穿也可当家居服
肩到袖子部分为布盘扣连接

衣长：56厘米  胸围：100厘米

不包邮 出售不退不换"
1092018764,来闲鱼258天了,卖出过5件宝贝,,连续4天来过,A,信用极好,抚顺,红色露肩一字肩连衣裙子2019年新款秋季气质收腰显瘦v领女装,未知,223.44,88,1,0,25,1,1,无同款商品信息,红色露肩一字肩连衣裙子2019年新款秋季气质收腰显瘦v领女装秋装，结婚那天穿了一回。再没穿过。
135470451,来闲鱼1461天了,卖出过10件宝贝,,连续2天来过,A,信用极好,湖州,包邮2018夏韩版休闲收腰荷叶边条纹吊带裙腰带连…,在售,123,36,1,0,11,0,0,无同款商品信息,"包邮2018夏韩版休闲收腰荷叶边条纹吊带裙腰带连… 很好穿 质量不错 穿过三四回
本交易仅支持邮寄"
904149817,来闲鱼1982天了,卖出过154件宝贝,法律/会计/咨询行业行政,连续2天来过,A,信用极好,北京,vero moda 裙子,在售,0,240,1,0,118,4,0,无同款商品信息,vero moda 裙子 就穿过一回，低价出 正
1089175510,来闲鱼566天了,卖出过107件宝贝,,3小时前来过,A,信用极好,沈阳,欧根纱上衣,在售,0,40,1,0,163,2,0,无同款商品信息,欧根纱上衣 浅黄色欧根纱上衣 没穿过洗过一回 本人穿170的 这款衣服165的 看着好看就买了 还是感觉有些瘦 是浅黄色 穿上很美的 165号 不适合胖妹子
714637295,来闲鱼732天了,卖出过83件宝贝,,16小时前来过,B,信用优秀,深圳,实体店购买的绣花连衣裙，面料是薄棉布的，软软的，很舒服，加上,在售,260,55,1,0,42,0,0,无同款商品信息,实体店购买的绣花连衣裙，面料是薄棉布的，软软的，很舒服，加上精致的绣花，上身效果很好，有内衬，不透，裙长84，胸围90，腰围可收缩，最大90，9成新，估计买回后穿过一两回，便宜出，不退不换。
24778165,来闲鱼1565天了,卖出过11件宝贝,教育/科研行业教师,3天前来过,A,信用极好,武汉,张贝贝ibell连衣裙显瘦egg裙法式过膝高腰桔…,已售出,253.82,99,0,10,225,8,0,无同款商品信息,"张贝贝ibell连衣裙显瘦egg裙法式过膝高腰桔…
,尺码XS
裙子+米黄色内搭。
仅带去新加坡穿过一回，不适合我，转给合适的妹子。"
1031928622,来闲鱼1936天了,卖出过40件宝贝,教育/科研行业咨询顾问,连续4天来过,A,信用极好,扬州,NICE CLAUP夏季商场同款复古宫廷方领连衣裙长款大裙摆,在售,424.3,200,1,10,208,4,0,无同款商品信息,"NICE CLAUP夏季商场同款复古宫廷方领连衣裙长款大裙摆收腰
仅穿过一回，共洗过两回，领口有点大不适合自己，无质量问题，喜欢的小伙伴放心拍。"
895253152,来闲鱼1216天了,卖出过90件宝贝,闲置物品亏本卖的，不退不换，不议价，大家买前考虑清楚呦,连续5天来过,A,信用极好,九江,森马新款宽松中长款连帽上衣。官方旗舰店119买的，只穿过一回,在售,119,65,1,0,32,2,0,无同款商品信息,森马新款宽松中长款连帽上衣。官方旗舰店119买的，只穿过一回，几乎全新，不喜欢，便宜出了。  L码        图案：字母 流行元素：印花 服装版型：宽松 流行元素：印花 衣长：中长款 材质：棉 服装版型：宽松 袖长：短袖 领型：连帽 材质：棉 品牌：Semir/森马
292505370,来闲鱼1660天了,卖出过194件宝贝,二手物品 不退不换 价格良心 为人诚信,1小时前来过,A,信用极好,临汾,薇薇简大码女装WWJ胖仙女大码连衣裙 夏装新款胖mm蕾丝连衣,未知,0,48,1,10,27,0,0,无同款商品信息,"薇薇简大码女装WWJ胖仙女大码连衣裙 夏装新款胖mm蕾丝连衣裙
颜色分类:乳白色[第二批预售7天],尺码:大码XXL 体重160斤内可穿，穿过一两回，很显气质，显瘦，易清洗。"
2211910139,来闲鱼1337天了,卖出过76件宝贝,学生行业行政,3小时前来过,A,信用极好,厦门,eland依恋女夏季连衣裙非teenie weenie,在售,0,55,1,0,213,8,2,无同款商品信息,eland依恋女夏季连衣裙非teenie weenie 165/88A穿过两回，洗了两次，毕业工作了不适合走校园女孩路线了哈哈哈，有一处小小的瑕疵见图五，右下角的花少了一小瓣，不过不仔细看看不见的，我也是拍照才发现的哈哈。价格最优，不议价了。
723282483,来闲鱼969天了,卖出过42件宝贝,工业/制造业行业高管,3小时前来过,B,信用优秀,大连,背心非常漂亮，只穿过一次，在家闲置没穿几回，都是原图拍照物品,在售,50,48,1,7,99,1,1,无同款商品信息,"背心非常漂亮，只穿过一次，在家闲置没穿几回，都是原图拍照物品和原服装没有任何差异，原女主是一个很时尚的人，干净利落衣服太多了，家里放不下了随便处理卖掉都是品牌好衣服。长期合作有优惠。
原女主175，体重115  9.9新"
3326136430,来闲鱼731天了,卖出过12件宝贝,,2小时前来过,A,信用极好,保定,衬衫,在售,89.9,40,1,0,77,6,5,无同款商品信息,"衬衫 CacheCache蓝色条纹衬衫女早春新款设计感中袖潮V领时尚简约上衣，M码，穿着非常显瘦显白，只穿过一回，九九成新，便宜出
本交易仅支持自提、当面交易、邮寄"
695418498,来闲鱼1582天了,卖出过1310件宝贝,我热爱生活，身体健康，外形优雅,5分钟前来过,A,信用极好,南京,鄂尔多斯正红色全羊毛针织衫95cm：专柜购回3年穿过1、2次,已售出,1098,68,0,0,210,6,0,无同款商品信息,鄂尔多斯正红色全羊毛针织衫95cm：专柜购回3年穿过1、2次，自评至少9新，面料100%羊毛，柔软亲肤有弹，手测胸围82肩宽37衣长59，我穿小了闲下，大牌品质版型超好，专柜全年少折。现转让不退换。
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
918807138,来闲鱼1890天了,卖出过38件宝贝,集颜值与才华于一身,1天前来过,A,信用极好,上海,品牌型号 ：fred perry Polo衫,已售出,0,130,0,0.00,361,5,0,无同款商品信息,"品牌型号 ：fred perry Polo衫
尺码 S，17年在IT买的，没穿过几回，9成新吧，我自己身高178cm，适合175-180左右的朋友。不超过70kg合适。
绝对正品，清理家里衣柜，好的衣服卖一卖…
衣长在68cm左右"
93482832,来闲鱼2050天了,卖出过1137件宝贝,IT/互联网/通信行业创始人,18分钟前来过,A,信用极好,广州,hm短袖衬衫，fp短袖polo！,已售出,666,18,0,0.00,385,8,0,无同款商品信息,"hm短袖衬衫，fp短袖polo！
,短袖衬衫，全新
,polo，下水一次，穿过一回
具体尺码看最后两张图片。。"
919048104,来闲鱼1860天了,卖出过249件宝贝,喜欢摄影、宠物、时尚、运动、居家、数码,连续5天来过,A,信用极好,宁德,NFL橄榄球衣 Patriots 爱国者12橄榄球衣短袖,已售出,258,88,0,0.00,281,11,4,无同款商品信息,"NFL橄榄球衣 Patriots 爱国者12橄榄球衣短袖
吊牌在，衣服很新就穿过一两回
BRADY汤姆布莱迪 二代传奇刺绣球衣
细节都拍出了 XL码99新
工艺很好，非几十块钱的普通货
胸围106 衣长70
二手衣物售出不退换，谢谢配合"
1101902451,来闲鱼1129天了,卖出过294件宝贝,就爱给孩子买买买…绝对正品！孩子的健康大于一切！,连续3天来过,A,信用极好,大连,婴儿连体衣男童春秋装外出服宝宝衣服绅士百天周岁礼服哈衣满月服,在售,0,48,1,0.00,152,1,0,无同款商品信息,"婴儿连体衣男童春秋装外出服宝宝衣服绅士百天周岁礼服哈衣满月服

只穿过周岁生日宴一次。
包邮，不议价，议价不回。
第一件和第四件也有，全新。
【送】凯叔声律启蒙音频全集

【提示】二手货品，售出不退。"
