卖家Id,卖家入驻闲鱼时长,卖家卖出商品数量,卖家职业,卖家访问闲鱼频率,卖家芝麻评级,卖家芝麻信用,卖家发货地址,商品标题,商品状态,商品划线价格,商品售价,商品数量,商品邮费,商品浏览数,商品想要人数,商品点赞数,商品同款信息,商品描述
357731575,来闲鱼1355天了,卖出过59件宝贝,喜欢运动,连续3天来过,A,信用极好,天津,李宁韦德卫衣，全新正品，低价出售，二手物品，恕不退还。,在售,0,99,1,0,135,4,1,无同款商品信息,"李宁韦德卫衣，全新正品，低价出售，二手物品，恕不退还。
感兴趣的话点“我想要”和我私聊吧～"
2266674873,来闲鱼1918天了,卖出过197件宝贝,喜欢摄影、绿植、宠物、时尚、运动、绘画、音乐、烘焙、娱乐、DIY、二次元、居家、舞蹈、数码,4小时前来过,A,信用极好,潍坊,全新健身运动长袖 s码 罩衫,在售,99,29,1,0,288,11,0,无同款商品信息,"全新健身运动长袖 s码 罩衫

s码，全新未穿。很轻薄的款式，特别舒服，还可以当防晒衫穿。二手物品不退不换。"
10007518,来闲鱼1712天了,卖出过227件宝贝,保正！真假问题不用多问，小票配件包装等大都买来就扔了，介意的勿买,4分钟前来过,A,信用极好,上海,maia active运动衣，瑜伽裤，基本都是xs，s码，适,在售,0,100,1,0,371,6,0,无同款商品信息,"maia active运动衣，瑜伽裤，基本都是xs，s码，适 合160到165体重90到95左右，选中的小窗咨询，一件100，两件9折，3件8折包顺丰，都只穿过一两次，有的剪标了，二手商品售出不退不换。
打X的已售！"
2.2013E+12,来闲鱼314天了,卖出过28件宝贝,二手商品概不退换哟 买二半包邮 三个包邮  拒绝已读不回,刚刚来过,D,信用中等,南昌,⭐优衣库连帽开衫卫衣 灰色  穿一  闲置便宜出,在售,0,49,1,0,2752,28,1,无同款商品信息,"⭐优衣库连帽开衫卫衣 灰色  穿一  闲置便宜出
s码适合150-160左右妹子  尺码偏大
 二手商品不退不换 退货狗别来"
725422901,来闲鱼1449天了,卖出过1件宝贝,,5小时前来过,A,信用极好,石家庄,79包邮款韩版时尚纯棉海贼王短袖➕运动裤套装（黄色、白色）（,在售,0,79,1,0,3,0,0,无同款商品信息,79包邮款韩版时尚纯棉海贼王短袖➕运动裤套装（黄色、白色）（DDJN1335），面料柔软舒服！尺码110-120-130-140-150-160-170，适合身高110cm-120cm-125cm-135m-145cm-155cm-165cm，
1081723195,来闲鱼933天了,卖出过17件宝贝,,2小时前来过,A,信用极好,大连,品牌型号：冬季 纯橙色 厚运动裤 尺码：3尺左右均可穿着 基,在售,0,25,1,0,52,1,0,无同款商品信息,品牌型号：冬季 纯橙色 厚运动裤 尺码：3尺左右均可穿着 基础风格：运动 九成新 偏远地区邮费另计 二手衣物售后不退不换
748660183,来闲鱼1971天了,卖出过37件宝贝,体育/健身行业教练,2小时前来过,A,信用极好,武汉,Nike黑色女士运动短裤S码,在售,0,70,1,0,126,6,0,无同款商品信息,"Nike黑色女士运动短裤S码
带内衬，穿着次数很少
专卖店购入
9成新，二手商品售出不退不换。"
2858582176,来闲鱼1101天了,卖出过289件宝贝,,3分钟前来过,B,信用优秀,保定,H&M速干裤，运动健身裤，瑜伽裤,在售,199,25,1,0,43,1,0,无同款商品信息,"H&M速干裤，运动健身裤，瑜伽裤
专柜购入，尺码170 
裤长70cm，腰围35cm
弹力很大，穿着非常舒服
9成新，多条包邮"
64093373,来闲鱼2013天了,卖出过386件宝贝,媒体/广告/公关行业行政,2小时前来过,A,信用极好,杭州,阿迪达斯/ADIDAS 正品 棒球服 男子运动开衫外套 L码,在售,0,138,1,7,5,0,0,无同款商品信息,阿迪达斯/ADIDAS 正品 棒球服 男子运动开衫外套 L码 180/100A 二手衣物售出不退不换 两件以上有优惠 10607
1659115287,来闲鱼1611天了,卖出过34件宝贝,自由职业行业行政,3小时前来过,A,信用极好,西安,二手衣服，不退不换,在售,0,35,1,0,5,0,0,无同款商品信息,"二手衣服，不退不换
感兴趣的话点“我想要”和我私聊吧～"
