卖家Id,卖家入驻闲鱼时长,卖家卖出商品数量,卖家职业,卖家访问闲鱼频率,卖家芝麻评级,卖家芝麻信用,卖家发货地址,商品标题,商品状态,商品划线价格,商品售价,商品数量,商品邮费,商品浏览数,商品想要人数,商品点赞数,商品同款信息,商品描述
1865229573,来闲鱼1625天了,卖出过2291件宝贝,房地产/建筑行业销售,3小时前来过,A,信用极好,潍坊,"女士上衣本人自穿的衣服尺码160，这个牌子属于高端定制系列,",在售,0,90,1,10,65,1,0,无同款商品信息,"女士上衣本人自穿的衣服尺码160，这个牌子属于高端定制系列,基本都是在大型商场才有专柜、我购于青岛海信广场质量特别好、弹性大、买的时候好几百、没怎么穿便宜出、二手物品不退不换谢谢"
1764470781,来闲鱼45天了,卖出过4件宝贝,,7小时前来过,A,信用极好,大连,2号裤.白色微喇长裤：裤长95，有余份，腰围70，臀围97,在售,240,21,1,0,92,1,0,无同款商品信息,"2号裤.白色微喇长裤：裤长95，有余份，腰围70，臀围97  前立裆26  后立裆35  裤脚宽26。凯德士，旁边镶钻，含棉60/%。上身舒服，版型正，显腿长。很好的一条裤子，九成新。有缘的来。二手商品，不退不换。
#衣服鞋子#"
1056528756,来闲鱼1454天了,卖出过51件宝贝,喜欢运动、居家、时尚,连续2天来过,A,信用极好,北京,only夏季短袖女上衣，九成新，碎花带收腰系带，160/80,在售,498,36,1,0,5,0,0,无同款商品信息,only夏季短袖女上衣，九成新，碎花带收腰系带，160/80A尺码，具体胸围衣长见图片，商场专柜购买，清理家中闲置，二手衣服，不退不换。
48549512,来闲鱼1596天了,卖出过28件宝贝,自由职业行业高管,连续2天来过,A,信用极好,哈尔滨,巴黎世家人像T恤 短袖 穿过两次 衣服太多闲置出售 二手物品,在售,0,69,1,0,42,2,1,无同款商品信息,巴黎世家人像T恤 短袖 穿过两次 衣服太多闲置出售 二手物品不退不换
265241100,来闲鱼719天了,卖出过401件宝贝,工业/制造业行业财务,连续5天来过,D,信用中等,大连,巴宝莉同款格子衬衫女，宝贝9新，穿过2次，薄款，胸围114，,在售,310,99,1,0,7,1,0,无同款商品信息,巴宝莉同款格子衬衫女，宝贝9新，穿过2次，薄款，胸围114，衣服前短后长，肩宽41，不讲价包邮，讲价免开尊口，二手商品不退不换，买时310，我觉得这款颜色比传统巴宝莉色有个性。
2.20721E+12,来闲鱼162天了,卖出过29件宝贝,影视/娱乐行业设计师,2小时前来过,B,信用优秀,广州,夏季新款卡通汤姆猫宽松短袖T恤情侣装学生,在售,79,20,1,0,231,12,2,无同款商品信息,"夏季新款卡通汤姆猫宽松短袖T恤情侣装学生 
衣服都是全新未拆封，不是二手的哟~
现货速发！
下单后带图私聊我尺寸"
2633521789,来闲鱼1384天了,卖出过9件宝贝,健康/医疗行业高管,连续2天来过,A,信用极好,许昌,EIN言 细条纹A字连衣裙女夏中长款V领简约百搭…,在售,847.92,300,1,8,20,0,0,无同款商品信息,"EIN言 细条纹A字连衣裙女夏中长款V领简约百搭…
颜色分类深啡,尺码S
新旧程度：八新
无污渍破损，二手衣服不退换，慎拍"
329394170,来闲鱼638天了,卖出过83件宝贝,信用不好的勿扰，看清楚介绍可以接受真心购买再私信，不要浪费彼此时间,38分钟前来过,A,信用极好,北京,连衣裙女童140-150全新两件打包，送鞋两双，鞋码35.5,在售,0,200,1,0,38,1,0,无同款商品信息,连衣裙女童140-150全新两件打包，送鞋两双，鞋码35.5-36。衣服未拆标当二手出了，讲价不回，合适直接拍。
1056528756,来闲鱼1454天了,卖出过51件宝贝,喜欢运动、居家、时尚,连续2天来过,A,信用极好,北京,2020新款中袖蕾丝超仙雪纺衫 风格：甜美，粉色，全新带吊牌,在售,98,49,1,0,4,0,0,无同款商品信息,2020新款中袖蕾丝超仙雪纺衫 风格：甜美，粉色，全新带吊牌，胸围衣长见图片。清理家中闲置，二手衣服，不退不换。
719658416,来闲鱼1375天了,卖出过1968件宝贝,贸易行业市场,连续2天来过,A,信用极好,邵阳,单肩个性T恤衫＋牛仔减龄半身裙,在售,180,55,1,0,11,0,0,无同款商品信息,"单肩个性T恤衫＋牛仔减龄半身裙
两件套套装
均码，平时穿S和M码的小姐姐都可以穿
如图实拍，超级好看
喜欢不要错过，爽快包邮，不议价不议价
二手闲置衣服售出不退不换"
3082527990,来闲鱼940天了,卖出过107件宝贝,金融行业法务,连续4天来过,A,信用极好,上海,Pull&Bear淡绿色女装上衣T恤 宽松可爱小猫 二手没穿,在售,128,10,1,7,54,4,0,无同款商品信息,"Pull&Bear淡绿色女装上衣T恤 宽松可爱小猫 二手没穿过仅洗

全新，仅洗没穿，型号S26。衣服薄薄的，非常软，还可当睡衣来穿。
需要可以详细询问，10元。
♥️最新要搬家，在整理衣柜，主页还有很多闲置转让。欢迎点击选看，多买几件邮费可商量♥️"
2091585522,来闲鱼1307天了,卖出过102件宝贝,喜欢宠物,27分钟前来过,B,信用优秀,沈阳,春秋女装 长款短款 大码,在售,0,15,1,7,8,0,0,无同款商品信息,"春秋女装 长款短款 大码

衣服太多闲置出
二手商品不退不换
价格15-50的都有"
672927069,来闲鱼1876天了,卖出过54件宝贝,教育/科研行业创始人,连续5天来过,A,信用极好,武汉,全新连衣裙连体裤清理 全部全新闲置 保质量 质量都很好 二手,在售,899,90,1,0,90,6,0,无同款商品信息,全新连衣裙连体裤清理 全部全新闲置 保质量 质量都很好 二手物品一经售出不退换 每件90包邮
355532033,来闲鱼2003天了,卖出过78件宝贝,,连续4天来过,A,信用极好,上海,babygap童装 12～18个月 全棉 穿过1次，洗过2次,在售,0,15,1,6,25,0,0,无同款商品信息,"babygap童装 12～18个月 全棉 穿过1次，洗过2次
衣服很新，目测没有斑斑点点。
二手衣服不退不换，请看清楚下单。
闲置物品满100包邮"
98440204,来闲鱼403天了,卖出过85件宝贝,法律/会计/咨询行业财务,49分钟前来过,A,信用极好,长春,二手韩国制造前短后长女士长T恤,在售,0,55,1,0,10,0,0,无同款商品信息,"二手韩国制造前短后长女士长T恤
衣长前片74CM，后片81CM，肩宽36CM，胸围92CM，姐姐搬新家清理库存，姐姐的衣服质量都特别好，喜欢的亲们可放心拍，尺寸手工测量可能会有一点点误差。闲置物品不退不换哦！"
217806689,来闲鱼1843天了,卖出过24件宝贝,喜欢电影、摄影、美妆、海淘、美甲,2小时前来过,A,信用极好,天津,一字肩上衣小衫条纹时尚,在售,150,22,1,0,6,0,0,无同款商品信息,"一字肩上衣小衫条纹时尚
s码 全新带吊牌 之前150购入 因夏天收拾衣帽间 出二手衣服  22包邮 衣服很薄很清爽两款 搭配牛仔裤牛仔裤叉黑裤叉均可 很夏日的一款 价格很低 不讲价免开尊口 谢谢！"
719658416,来闲鱼1375天了,卖出过1968件宝贝,贸易行业市场,连续2天来过,A,信用极好,邵阳,T恤衫＋高腰牛仔短裤，两件套套装,在售,179,60,1,0,20,0,0,无同款商品信息,"T恤衫＋高腰牛仔短裤，两件套套装
M码全新，有吊牌
衣服实在太多，这套全新便宜出
不议价不议价不议价
爽快包邮
二手闲置衣服售出不退不换，喜欢小姐姐直接付款，不要错过"
2091585522,来闲鱼1307天了,卖出过102件宝贝,喜欢宠物,27分钟前来过,B,信用优秀,沈阳,女款T恤 大码,在售,0,10,1,7,16,0,0,无同款商品信息,"女款T恤 大码

二手商品不退不换 
衣服太多了闲置出
全部10-20元出
不议价运费自理"
414744991,来闲鱼1854天了,卖出过61件宝贝,培训行业高管,45分钟前来过,A,信用极好,芜湖,歪欧呦  tomboy波点裙,在售,0,200,1,0,61,1,0,无同款商品信息,"歪欧呦  tomboy波点裙
借夜铺  甜橙甜  歪欧呦家微店入手
墨绿色 ，全新未穿，所以没拍衣服图片，卖家已经拍的很清楚了。不合适自己而已。
二手商品，想好拍，不退不换。"
2196133195,来闲鱼1394天了,卖出过13件宝贝,,连续2天来过,A,信用极好,上海,【JUSLIN】复古质感 飘逸拼接层次感肌理格纹长裙,在售,80,49,1,0,23,1,0,无同款商品信息,"【JUSLIN】复古质感 飘逸拼接层次感肌理格纹长裙
适合春秋，稍微有点厚度！我二手转来没穿过，衣服2件包邮"
1731068935,来闲鱼1537天了,卖出过14件宝贝,喜欢时尚、音乐、娱乐、居家,2小时前来过,A,信用极好,洛阳,清衣柜清衣柜,在售,80,15,1,8,5,0,0,无同款商品信息,"清衣柜清衣柜  

低到不能再低    请勿还价
都是质量非常好的衣服   
衣服基本都是全新和9成新的
二手商品不退不换  不包邮啦
 各位仙女们快来哇"
2.2082E+12,来闲鱼9天了,卖出过1件宝贝,出闲置二手不常在有问题留言,连续5天来过,D,信用中等,连云港,韩版chic紧身牛仔裤女高腰铆钉韩版弹力显瘦九分小脚裤,在售,0,64,1,0,26,1,1,无同款商品信息,"韩版chic紧身牛仔裤女高腰铆钉韩版弹力显瘦九分小脚裤
衣服太多了，清衣柜
二手衣服非全新，不退不换
腰围66&臀围78&裤长89"
3169578453,来闲鱼571天了,卖出过60件宝贝,自由职业行业教练,8小时前来过,B,信用优秀,兴安,品牌大码女装适合180-210美妹穿，衣服太多穿不过来，二手,在售,599,79,1,0,32,2,0,无同款商品信息,品牌大码女装适合180-210美妹穿，衣服太多穿不过来，二手商品不退不换，全新
150484462,来闲鱼1973天了,卖出过5件宝贝,,6小时前来过,A,信用极好,张家口,夏天长袖雪纺衫，9成新，二手衣服不退不换,在售,0,19,1,0,3,0,0,无同款商品信息,"夏天长袖雪纺衫，9成新，二手衣服不退不换
感兴趣的话点“我想要”和我私聊吧～"
740455104,来闲鱼402天了,卖出过78件宝贝,喜欢绿植、时尚、运动、娱乐、居家,连续3天来过,A,信用极好,揭阳,复古港味泼墨画2020上衬衫女士长袖衫,在售,0,17.6,1,0,21,0,0,无同款商品信息,"复古港味泼墨画2020上衬衫女士长袖衫
清衣柜
二手商品，一经售出，概不退换！
介意者慎拍！
偏远地区不包邮
需要看商品视频可以联系我"
23168988,来闲鱼1695天了,卖出过201件宝贝,自由职业行业销售,连续2天来过,A,信用极好,北京,女士真丝连衣裙 内里为百分百真丝材质 职业气质款 身后拉索一,在售,0,158,1,7,8,0,0,无同款商品信息,"女士真丝连衣裙 内里为百分百真丝材质 职业气质款 身后拉索一通到底 适合s码
买来未穿过一直放置 九成新以上 二手衣服或者长期放置多少会有些不尽如人意的地方 完美主义者请绕行 不退货考虑清楚再出手"
3166401058,来闲鱼886天了,卖出过16件宝贝,学生行业销售,连续3天来过,C,信用良好,太原,日系潮牌Aape樱花短袖T恤女款黑白纯棉,在售,358,55,1,0,68,2,0,无同款商品信息,"日系潮牌Aape樱花短袖T恤女款黑白纯棉
日本潮牌
【捡漏五折半价处理】
衣服都是全新的带吊牌
有任何质量问题包退包换包邮，放心购买
（二手市场，非质量问题不退不换）
看中点我想要私聊我～
本交易仅支持邮寄，具体尺码可以问我"
106727138,来闲鱼1440天了,卖出过130件宝贝,,16分钟前来过,A,信用极好,温州,balabala连衣裙纱裙，专柜购入，衣服120码，九成新，,在售,0,35,1,0,47,1,0,无同款商品信息,balabala连衣裙纱裙，专柜购入，衣服120码，九成新，合适拍走不包邮，因二手商品，售出不退，介意慎拍！
457182038,来闲鱼1885天了,卖出过233件宝贝,金融行业财务,7小时前来过,A,信用极好,北京,sly春季日系长袖上衣 衣长：常规 袖长：长袖 风格：甜美,在售,0,160,1,7,14,1,0,无同款商品信息,sly春季日系长袖上衣 衣长：常规 袖长：长袖 风格：甜美 衣长：常规 图案：纯色 米色方领上衣，一度很着迷方领的衣服，显得肩颈曲线特别好，但是这款肩的地方我穿有点紧，1码，穿一洗一，专柜入，保证正品。二手物品不退不换。
3376902396,来闲鱼768天了,卖出过239件宝贝,贸易行业高管,连续4天来过,A,信用极好,温州,大码女装短袖学生T恤,在售,0,58,1,0,27,2,0,无同款商品信息,"大码女装短袖学生T恤

宽松舒适欧美版型大码T恤，衣服质量好，料子舒服，不起球不褪色，大到130的人也可以穿

左边袖子处有黄渍，可以自己漂白水漂白

二手衣物售出不退货谢谢，请考虑好下单"
1731068935,来闲鱼1537天了,卖出过14件宝贝,喜欢时尚、音乐、娱乐、居家,2小时前来过,A,信用极好,洛阳,清衣柜清衣柜,在售,0,20,1,0,4,1,0,无同款商品信息,"清衣柜清衣柜  

低到不能再低    请勿还价
都是质量非常好的衣服   
衣服基本都是全新和9成新的
二手商品不退不换  不包邮啦
 各位仙女们快来哇"
